tournament_year;stage;player_1name;player_2name;player_1score;player_2score
2022;1/16-FINALS;Smith M.;O'Connor W.;4.0;2.0
2022;1/16-FINALS;Smith R.;van Duijvenbode D.;3.0;4.0
2022;1/32-FINALS;Dobey C.;Rodriguez Ru. J.;3.0;2.0
2022;1/32-FINALS;Cross R.;van Barneveld R.;3.0;1.0
2022;1/32-FINALS;Clemens G.;Williams L.;3.0;0.0
2022;1/32-FINALS;Noppert D.;Heaver J.;3.0;1.0
2022;1/32-FINALS;de Sousa J.;Lowe J.;3.0;2.0
2022;1/32-FINALS;Suljovic M.;Soutar A.;2.0;3.0
2022;1/32-FINALS;Dolan B.;Rydz C.;0.0;3.0
2022;1/32-FINALS;Heta D.;Woodhouse L.;3.0;1.0
2022;1/32-FINALS;Whitlock S.;Kleermaker M.;1.0;3.0
2022;1/32-FINALS;Huybrechts K.;Beaton S.;3.0;1.0
2022;1/32-FINALS;van Duijvenbode D.;Koltsov B.;3.0;2.0
2022;1/32-FINALS;Aspinall N.;Murnan J.;3.0;2.0
2022;1/32-FINALS;Cullen J.;Williams J.;3.0;2.0
2022;1/32-FINALS;Humphries L.;Rodriguez R.-J.;3.0;0.0
2022;1/32-FINALS;Durrant G.;O'Connor W.;0.0;3.0
2022;1/32-FINALS;Searle R.;Borland W.;3.0;0.0
2022;1/32-FINALS;Petersen D.;Smith R.;0.0;3.0
2022;1/32-FINALS;van den Bergh D.;Hempel F.;1.0;3.0
2022;1/32-FINALS;Smith M.;Meulenkamp R.;3.0;0.0
2022;1/32-FINALS;Van der Voort V.;Hunt A.;3.0;0.0
2022;1/32-FINALS;Chisnall D.;de Decker M.;3.0;0.0
2022;1/32-FINALS;King M.;Joyce R.;3.0;2.0
2022;1/64-FINALS;Lowe J.;Larsson D.;3.0;0.0
2022;1/64-FINALS;Williams L.;Shibata T.;3.0;0.0
2022;1/32-FINALS;Wade J.;Kuivenhoven M.;3.0;1.0
2022;1/64-FINALS;van Barneveld R.;Ilagan L.;3.0;0.0
2022;1/64-FINALS;Rodriguez Ru. J.;Robb B.;3.0;1.0
2022;1/64-FINALS;Woodhouse L.;Wilson J.;3.0;1.0
2022;1/32-FINALS;Clayton J.;Barry K.;3.0;2.0
2022;1/64-FINALS;Beaton S.;Sherrock F.;3.0;2.0
2022;1/64-FINALS;Hempel F.;Schindler M.;3.0;0.0
2022;1/64-FINALS;Kleermaker M.;Michael J.;3.0;1.0
2022;1/32-FINALS;Bunting S.;Smith R.;2.0;3.0
2022;1/64-FINALS;Soutar A.;Portela D.;3.0;2.0
2022;1/64-FINALS;Heaver J.;Mathers G.;3.0;1.0
2022;1/64-FINALS;Kuivenhoven M.;Smith K.;3.0;1.0
2022;1/32-FINALS;van Gerwen M.;Barstow C.;3.0;1.0
2022;1/64-FINALS;Rodriguez R.-J.;Kenny N.;3.0;0.0
2022;1/64-FINALS;Evetts T.;Williams J.;1.0;3.0
2022;1/64-FINALS;Hunt A.;Krcmar B.;3.0;0.0
2022;1/32-FINALS;White I.;Landman C.;3.0;1.0
2022;1/64-FINALS;Labanauskas D.;de Decker M.;1.0;3.0
2022;1/64-FINALS;Rydz C.;Yamada Y.;3.0;0.0
2022;1/64-FINALS;Hughes J.;Smith R.;1.0;3.0
2022;1/32-FINALS;Wright P.;Meikle R.;3.0;0.0
2022;1/64-FINALS;Smith R.;Smith J.;3.0;0.0
2022;1/64-FINALS;Borland W.;Brooks B.;3.0;2.0
2022;1/64-FINALS;Murnan J.;Lim P.;3.0;2.0
2022;1/32-FINALS;Ratajski K.;Lennon S.;1.0;3.0
2022;1/64-FINALS;Wattimena J.;Koltsov B.;0.0;3.0
2022;1/64-FINALS;Barry K.;Lam R.;3.0;2.0
2022;1/64-FINALS;Joyce R.;Benecky R.;3.0;2.0
2022;1/32-FINALS;Anderson G.;Lewis A.;3.0;1.0
2022;1/64-FINALS;Meulenkamp R.;Ashton L.;3.0;0.0
2022;1/64-FINALS;Meikle R.;Schmutzler F.;3.0;0.0
2022;1/64-FINALS;O'Connor W.;Lauby D. Jr.;3.0;2.0
2022;1/32-FINALS;Gurney D.;Evans R.;3.0;1.0
2022;1/64-FINALS;Barstow C.;Norman J.;3.0;1.0
2022;1/64-FINALS;Mitchell S.;Landman C.;0.0;3.0
2022;1/64-FINALS;Lennon S.;Razma M.;3.0;1.0
2022;1/32-FINALS;Price G.;Edhouse R.;3.0;1.0
2022;1/64-FINALS;Lewis A.;Campbell M.;3.0;1.0
2022;1/64-FINALS;Evans R.;Kumar N.;3.0;0.0
2022;1/64-FINALS;Edhouse R.;Hudson P.;3.0;2.0
2021;FINAL;Anderson G.;Price G.;3.0;7.0
2021;SEMI-FINALS;Chisnall D.;Anderson G.;3.0;6.0
2021;SEMI-FINALS;Bunting S.;Price G.;4.0;6.0
2021;QUARTER-FINALS;van Gerwen M.;Chisnall D.;0.0;5.0
2021;QUARTER-FINALS;Price G.;Gurney D.;5.0;4.0
2021;QUARTER-FINALS;Anderson G.;van Duijvenbode D.;5.0;1.0
2021;QUARTER-FINALS;Ratajski K.;Bunting S.;3.0;5.0
2021;1/8-FINALS;Chisnall D.;van den Bergh D.;4.0;2.0
2021;1/8-FINALS;Price G.;King M.;4.0;1.0
2021;1/8-FINALS;van Duijvenbode D.;Durrant G.;4.0;3.0
2021;1/8-FINALS;Petersen D.;Anderson G.;0.0;4.0
2021;1/8-FINALS;Bunting S.;Searle R.;4.0;3.0
2021;1/8-FINALS;Van der Voort V.;Gurney D.;2.0;4.0
2021;1/8-FINALS;van Gerwen M.;Cullen J.;4.0;3.0
2021;1/8-FINALS;Clemens G.;Ratajski K.;3.0;4.0
2021;1/16-FINALS;Chisnall D.;Noppert D.;4.0;2.0
2021;1/16-FINALS;Lowe J.;Petersen D.;0.0;4.0
2021;1/16-FINALS;Gurney D.;Dobey C.;4.0;1.0
2021;1/16-FINALS;Wade J.;Bunting S.;2.0;4.0
2021;1/16-FINALS;Durrant G.;Baggish D.;4.0;2.0
2021;1/16-FINALS;Price G.;Dolan B.;4.0;3.0
2021;1/16-FINALS;Anderson G.;Suljovic M.;4.0;3.0
2021;1/16-FINALS;Aspinall N.;Van der Voort V.;2.0;4.0
2021;1/16-FINALS;van Duijvenbode D.;Hunt A.;4.0;0.0
2021;1/16-FINALS;de Sousa J.;King M.;0.0;4.0
2021;1/16-FINALS;van Gerwen M.;Evans R.;4.0;0.0
2021;1/16-FINALS;Wright P.;Clemens G.;3.0;4.0
2021;1/16-FINALS;Cullen J.;Clayton J.;4.0;3.0
2021;1/16-FINALS;van den Bergh D.;Wattimena J.;4.0;0.0
2021;1/16-FINALS;Huybrechts K.;Searle R.;2.0;4.0
2021;1/16-FINALS;Ratajski K.;Whitlock S.;4.0;0.0
2021;1/32-FINALS;Smith M.;Lowe J.;1.0;3.0
2021;1/32-FINALS;Aspinall N.;Waites S.;3.0;2.0
2021;1/32-FINALS;Wattimena J.;Kenny N.;3.0;1.0
2021;1/32-FINALS;Chisnall D.;Brown K.;3.0;1.0
2021;1/32-FINALS;Suljovic M.;Edgar M.;3.0;1.0
2021;1/32-FINALS;Bunting S.;Boulton A.;3.0;2.0
2021;1/32-FINALS;Anderson G.;Razma M.;3.0;1.0
2021;1/32-FINALS;Evans R.;Mansell M.;3.0;1.0
2021;1/32-FINALS;van den Bergh D.;Lim P.;3.0;0.0
2021;1/32-FINALS;Cross R.;van Duijvenbode D.;2.0;3.0
2021;1/32-FINALS;Petersen D.;Lennon S.;3.0;1.0
2021;1/32-FINALS;Noppert D.;Carolissen C.;3.0;1.0
2021;1/32-FINALS;Lewis A.;Baggish D.;1.0;3.0
2021;1/32-FINALS;Whitlock S.;Labanauskas D.;3.0;2.0
2021;1/32-FINALS;Cullen J.;Jones W.;3.0;0.0
2021;1/32-FINALS;Dolan B.;Foulkes E.;3.0;1.0
2021;1/32-FINALS;Clemens G.;Kurz N.;3.0;1.0
2021;1/32-FINALS;Price G.;Lewis J.;3.0;2.0
2021;1/32-FINALS;White I.;Huybrechts K.;1.0;3.0
2021;1/32-FINALS;Ratajski K.;Joyce R.;3.0;0.0
2021;1/32-FINALS;Clayton J.;Henderson J.;3.0;1.0
2021;1/32-FINALS;de Zwaan J.;Searle R.;0.0;3.0
2021;1/64-FINALS;Brown K.;Meikle R.;3.0;0.0
2021;1/64-FINALS;Kleermaker M.;Carolissen C.;;
2021;1/32-FINALS;Van der Voort V.;Meulenkamp R.;3.0;2.0
2021;1/64-FINALS;Kuivenhoven M.;Edgar M.;0.0;3.0
2021;1/64-FINALS;Lowe J.;Gorbunov D.;3.0;1.0
2021;1/64-FINALS;Telnekes D.;Kenny N.;2.0;3.0
2021;1/32-FINALS;van Gerwen M.;Murray R.;3.0;1.0
2021;1/64-FINALS;Heta D.;Baggish D.;2.0;3.0
2021;1/64-FINALS;Boulton A.;Hedman D.;3.0;1.0
2021;1/64-FINALS;Hamilton A.;Kurz N.;1.0;3.0
2021;1/32-FINALS;King M.;Hopp M.;3.0;1.0
2021;1/64-FINALS;Huybrechts K.;Zhuang D.;3.0;0.0
2021;1/64-FINALS;Waites S.;Campbell M.;3.0;2.0
2021;1/64-FINALS;Lennon S.;Larsson D.;3.0;1.0
2021;1/32-FINALS;Wade J.;Rydz C.;3.0;0.0
2021;1/64-FINALS;Humphries L.;Lim P.;2.0;3.0
2021;1/64-FINALS;Henderson J.;Kantele M.;3.0;2.0
2021;1/64-FINALS;van Duijvenbode D.;Brooks B.;3.0;2.0
2021;1/32-FINALS;Hughes J.;Hunt A.;0.0;3.0
2021;1/64-FINALS;Jones W.;Teehan C.;3.0;2.0
2021;1/64-FINALS;Labanauskas D.;Liu C. A.;3.0;0.0
2021;1/64-FINALS;Mansell M.;Puha H.;3.0;0.0
2021;1/32-FINALS;de Sousa J.;Smith R.;3.0;1.0
2021;1/64-FINALS;Searle R.;Lauby D. Jr.;3.0;2.0
2021;1/64-FINALS;Meulenkamp R.;Krcmar B.;3.0;1.0
2021;1/64-FINALS;Woodhouse L.;Lewis J.;2.0;3.0
2021;1/32-FINALS;Gurney D.;O'Connor W.;3.0;2.0
2021;1/64-FINALS;Murray R.;Ilagan L.;3.0;1.0
2021;1/64-FINALS;de Decker M.;Foulkes E.;0.0;3.0
2021;1/64-FINALS;Razma M.;Suzuki T.;3.0;0.0
2021;1/32-FINALS;Durrant G.;Portela D.;3.0;0.0
2021;1/64-FINALS;Hunt A.;Ashton L.;3.0;2.0
2021;1/64-FINALS;Rydz C.;Bailey J.;3.0;1.0
2021;1/64-FINALS;Hopp M.;Mathers G.;3.0;0.0
2021;1/32-FINALS;Dobey C.;Smith J.;3.0;2.0
2021;1/64-FINALS;O'Connor W.;Zonneveld N.;3.0;0.0
2021;1/64-FINALS;Smith R.;Evans D.;3.0;0.0
2021;1/64-FINALS;Joyce R.;Sedlacek K.;3.0;2.0
2021;1/32-FINALS;Wright P.;West S.;3.0;1.0
2021;1/64-FINALS;Smith J.;Barry K.;3.0;1.0
2021;1/64-FINALS;Beaton S.;Portela D.;0.0;3.0
2021;1/64-FINALS;West S.;Gilitwala A.;3.0;0.0
2020;FINAL;van Gerwen M.;Wright P.;3.0;7.0
2020;SEMI-FINALS;van Gerwen M.;Aspinall N.;6.0;3.0
2020;SEMI-FINALS;Wright P.;Price G.;6.0;3.0
2020;QUARTER-FINALS;Durrant G.;Price G.;1.0;5.0
2020;QUARTER-FINALS;van Gerwen M.;Labanauskas D.;5.0;2.0
2020;QUARTER-FINALS;Humphries L.;Wright P.;3.0;5.0
2020;QUARTER-FINALS;Aspinall N.;van den Bergh D.;5.0;3.0
2020;1/8-FINALS;Price G.;Whitlock S.;4.0;2.0
2020;1/8-FINALS;Durrant G.;Dobey C.;4.0;3.0
2020;1/8-FINALS;Wright P.;de Zwaan J.;4.0;3.0
2020;1/8-FINALS;van den Bergh D.;Lewis A.;4.0;3.0
2020;1/8-FINALS;Huybrechts K.;Humphries L.;1.0;4.0
2020;1/8-FINALS;Beaton S.;Labanauskas D.;2.0;4.0
2020;1/8-FINALS;van Gerwen M.;Bunting S.;4.0;0.0
2020;1/8-FINALS;Anderson G.;Aspinall N.;2.0;4.0
2020;1/16-FINALS;Price G.;Henderson J.;4.0;0.0
2020;1/16-FINALS;Sherrock F.;Dobey C.;2.0;4.0
2020;1/16-FINALS;Gurney D.;Durrant G.;2.0;4.0
2020;1/16-FINALS;Whitlock S.;King M.;4.0;1.0
2020;1/16-FINALS;Wright P.;Asada S.;4.0;2.0
2020;1/16-FINALS;Anderson G.;Searle R.;4.0;3.0
2020;1/16-FINALS;Chisnall D.;de Zwaan J.;3.0;4.0
2020;1/16-FINALS;Woodhouse L.;van den Bergh D.;2.0;4.0
2020;1/16-FINALS;Lewis A.;Webster D.;4.0;3.0
2020;1/16-FINALS;Kurz N.;Humphries L.;2.0;4.0
2020;1/16-FINALS;van Gerwen M.;Evans R.;4.0;0.0
2020;1/16-FINALS;Huybrechts K.;Noppert D.;4.0;2.0
2020;1/16-FINALS;Wade J.;Beaton S.;2.0;4.0
2020;1/16-FINALS;Aspinall N.;Ratajski K.;4.0;3.0
2020;1/16-FINALS;Labanauskas D.;Hopp M.;4.0;2.0
2020;1/16-FINALS;Clayton J.;Bunting S.;0.0;4.0
2020;1/32-FINALS;van den Bergh D.;Payne J.;3.0;0.0
2020;1/32-FINALS;Suljovic M.;Sherrock F.;1.0;3.0
2020;1/32-FINALS;Durrant G.;Heta D.;3.0;0.0
2020;1/32-FINALS;Gurney D.;Pipe J.;3.0;0.0
2020;1/32-FINALS;Lewis A.;Reyes C.;3.0;2.0
2020;1/32-FINALS;West S.;Searle R.;0.0;3.0
2020;1/32-FINALS;Whitlock S.;Ward H.;3.0;0.0
2020;1/32-FINALS;Brown K.;Asada S.;2.0;3.0
2020;1/32-FINALS;Wright P.;Malicdem N.;3.0;2.0
2020;1/32-FINALS;Hopp M.;van de Pas B.;3.0;2.0
2020;1/32-FINALS;Cullen J.;Kurz N.;1.0;3.0
2020;1/32-FINALS;Aspinall N.;Baggish D.;3.0;1.0
2020;1/32-FINALS;Evans R.;McGeeney M.;3.0;1.0
2020;1/32-FINALS;Clayton J.;Dekker J.;3.0;0.0
2020;1/32-FINALS;King M.;Teehan C.;3.0;2.0
2020;1/32-FINALS;Webster D.;Yamada Y.;3.0;0.0
2020;1/32-FINALS;Price G.;O'Connor W.;3.0;2.0
2020;1/32-FINALS;Chisnall D.;Van der Voort V.;3.0;1.0
2020;1/32-FINALS;Noppert D.;Rydz C.;3.0;2.0
2020;1/32-FINALS;Dobey C.;Meulenkamp R.;3.0;2.0
2020;1/32-FINALS;Beaton S.;Anderson K.;3.0;1.0
2020;1/32-FINALS;Henderson J.;Richardson J.;3.0;0.0
2020;PRELIMINARY ROUND;Joyce R.;Dekker J.;2.0;3.0
2020;PRELIMINARY ROUND;Pipe J.;Pratnemer B.;3.0;2.0
2020;1/32-FINALS;Wade J.;Edhouse R.;3.0;0.0
2020;PRELIMINARY ROUND;Clemens G.;van de Pas B.;2.0;3.0
2020;PRELIMINARY ROUND;Payne J.;Portela D.;3.0;0.0
2020;PRELIMINARY ROUND;Wilson J.;Kurz N.;1.0;3.0
2020;1/32-FINALS;Bunting S.;Justicia J.;3.0;2.0
2020;PRELIMINARY ROUND;Ward H.;Razma M.;3.0;2.0
2020;PRELIMINARY ROUND;Mansell M.;Asada S.;0.0;3.0
2020;PRELIMINARY ROUND;Meulenkamp R.;Robb B.;3.0;0.0
2020;1/32-FINALS;de Zwaan J.;Young D.;3.0;2.0
2020;PRELIMINARY ROUND;Evetts T.;Sherrock F.;2.0;3.0
2020;PRELIMINARY ROUND;de Sousa J.;Heta D.;0.0;3.0
2020;PRELIMINARY ROUND;Edhouse R.;Koltsov B.;3.0;1.0
2020;1/32-FINALS;Ratajski K.;Lerchbacher Z.;3.0;1.0
2020;PRELIMINARY ROUND;Rodriguez R.-J.;Malicdem N.;0.0;3.0
2020;PRELIMINARY ROUND;Reyes C.;Ilagan L.;3.0;2.0
2020;PRELIMINARY ROUND;Searle R.;King R.;3.0;2.0
2020;1/32-FINALS;Anderson G.;Dolan B.;3.0;0.0
2020;PRELIMINARY ROUND;Van der Voort V.;Barry K.;3.0;0.0
2020;PRELIMINARY ROUND;O'Connor W.;Kantele M.;3.0;0.0
2020;PRELIMINARY ROUND;Lennon S.;Rydz C.;2.0;3.0
2020;1/32-FINALS;Smith M.;Woodhouse L.;1.0;3.0
2020;PRELIMINARY ROUND;Richardson J.;Suzuki M.;3.0;2.0
2020;PRELIMINARY ROUND;Boulton A.;Baggish D.;2.0;3.0
2020;PRELIMINARY ROUND;Monk A.;Justicia J.;0.0;3.0
2020;1/32-FINALS;White I.;Labanauskas D.;1.0;3.0
2020;PRELIMINARY ROUND;Dolan B.;Kumar N.;3.0;0.0
2020;PRELIMINARY ROUND;Smith R.;Teehan C.;0.0;3.0
2020;PRELIMINARY ROUND;Anderson K.;Zong X. C.;3.0;2.0
2020;1/32-FINALS;Cross R.;Huybrechts K.;0.0;3.0
2020;PRELIMINARY ROUND;van Barneveld R.;Young D.;1.0;3.0
2020;PRELIMINARY ROUND;Hughes J.;Lerchbacher Z.;2.0;3.0
2020;PRELIMINARY ROUND;McGeeney M.;Campbell M.;3.0;1.0
2020;1/32-FINALS;Wattimena J.;Humphries L.;2.0;3.0
2020;PRELIMINARY ROUND;Woodhouse L.;Lim P.;3.0;0.0
2020;PRELIMINARY ROUND;Meikle R.;Yamada Y.;1.0;3.0
2020;PRELIMINARY ROUND;Labanauskas D.;Edgar M.;3.0;0.0
2020;1/32-FINALS;van Gerwen M.;Klaasen J.;3.0;1.0
2020;PRELIMINARY ROUND;Humphries L.;Petersen D.;3.0;1.0
2020;PRELIMINARY ROUND;Huybrechts K.;Nentjes G.;3.0;2.0
2020;PRELIMINARY ROUND;Klaasen J.;Burness K.;3.0;1.0
2019;FINAL;van Gerwen M.;Smith M.;7.0;3.0
2019;SEMI-FINALS;van Gerwen M.;Anderson G.;6.0;1.0
2019;SEMI-FINALS;Smith M.;Aspinall N.;6.0;3.0
2019;QUARTER-FINALS;van Gerwen M.;Joyce R.;5.0;1.0
2019;QUARTER-FINALS;Humphries L.;Smith M.;1.0;5.0
2019;QUARTER-FINALS;Anderson G.;Chisnall D.;5.0;2.0
2019;QUARTER-FINALS;Aspinall N.;Dolan B.;5.0;1.0
2019;1/8-FINALS;Cross R.;Humphries L.;2.0;4.0
2019;1/8-FINALS;Lewis J.;Chisnall D.;0.0;4.0
2019;1/8-FINALS;Searle R.;Smith M.;1.0;4.0
2019;1/8-FINALS;Joyce R.;Wade J.;4.0;3.0
2019;1/8-FINALS;van de Pas B.;Dolan B.;1.0;4.0
2019;1/8-FINALS;Aspinall N.;Petersen D.;4.0;3.0
2019;1/8-FINALS;van Gerwen M.;Lewis A.;4.0;1.0
2019;1/8-FINALS;Anderson G.;Dobey C.;4.0;3.0
2019;1/16-FINALS;Alcinas T.;van de Pas B.;2.0;4.0
2019;1/16-FINALS;Smith M.;Henderson J.;4.0;2.0
2019;1/16-FINALS;van den Bergh D.;Humphries L.;1.0;4.0
2019;1/16-FINALS;Petersen D.;West S.;4.0;2.0
2019;1/16-FINALS;Cross R.;Reyes C.;4.0;0.0
2019;1/16-FINALS;Aspinall N.;Anderson K.;4.0;1.0
2019;1/16-FINALS;Lewis A.;Labanauskas D.;4.0;0.0
2019;1/16-FINALS;Wade J.;Brown K.;4.0;3.0
2019;1/16-FINALS;Dolan B.;King M.;4.0;2.0
2019;1/16-FINALS;Van der Voort V.;Dobey C.;3.0;4.0
2019;1/16-FINALS;van Gerwen M.;Hopp M.;4.0;1.0
2019;1/16-FINALS;Anderson G.;Wattimena J.;4.0;3.0
2019;1/16-FINALS;Searle R.;O'Connor W.;4.0;1.0
2019;1/16-FINALS;Gurney D.;Lewis J.;3.0;4.0
2019;1/16-FINALS;Chisnall D.;Huybrechts K.;4.0;0.0
2019;1/16-FINALS;Joyce R.;Norris A.;4.0;3.0
2019;1/32-FINALS;Clayton J.;van den Bergh D.;1.0;3.0
2019;1/32-FINALS;Price G.;Aspinall N.;2.0;3.0
2019;1/32-FINALS;Klaasen J.;Brown K.;1.0;3.0
2019;1/32-FINALS;White I.;Petersen D.;2.0;3.0
2019;1/32-FINALS;Anderson K.;Malicdem N.;3.0;1.0
2019;1/32-FINALS;West S.;North R.;3.0;1.0
2019;1/32-FINALS;Henderson J.;Clemens G.;3.0;2.0
2019;1/32-FINALS;van de Pas B.;Long J.;3.0;2.0
2019;1/32-FINALS;Suljovic M.;Searle R.;1.0;3.0
2019;1/32-FINALS;Lewis A.;Evetts T.;3.0;0.0
2019;1/32-FINALS;King M.;Dekker J.;3.0;2.0
2019;1/32-FINALS;Reyes C.;Rodriguez R.-J.;3.0;2.0
2019;1/32-FINALS;Beaton S.;Dobey C.;0.0;3.0
2019;1/32-FINALS;Bunting S.;Humphries L.;1.0;3.0
2019;1/32-FINALS;Norris A.;Lennon S.;3.0;2.0
2019;1/32-FINALS;Wattimena J.;Barnard M.;3.0;0.0
2019;1/32-FINALS;Wade J.;Asada S.;3.0;2.0
2019;1/32-FINALS;Smith M.;Meulenkamp R.;3.0;1.0
2019;1/32-FINALS;Whitlock S.;Joyce R.;0.0;3.0
2019;1/32-FINALS;Wilson J.;O'Connor W.;2.0;3.0
2019;1/32-FINALS;Huybrechts K.;Larsson D.;3.0;0.0
2019;1/32-FINALS;Cullen J.;Dolan B.;0.0;3.0
2019;PRELIMINARY ROUND;de Graaf J.;Malicdem N.;2.0;3.0
2019;PRELIMINARY ROUND;Aspinall N.;Nentjes G.;3.0;0.0
2019;1/32-FINALS;Gurney D.;Smith R.;3.0;0.0
2019;PRELIMINARY ROUND;van den Bergh D.;Puleo C.;3.0;0.0
2019;PRELIMINARY ROUND;Meulenkamp R.;Portela D.;3.0;2.0
2019;PRELIMINARY ROUND;Lennon S.;Bailey J.;3.0;0.0
2019;1/32-FINALS;Webster D.;Van der Voort V.;0.0;3.0
2019;PRELIMINARY ROUND;Ratajski K.;Asada S.;2.0;3.0
2019;PRELIMINARY ROUND;Evans R.;Rodriguez R.-J.;1.0;3.0
2019;PRELIMINARY ROUND;Thornton R.;Larsson D.;1.0;3.0
2019;1/32-FINALS;van Barneveld R.;Labanauskas D.;2.0;3.0
2019;PRELIMINARY ROUND;Joyce R.;Dobromyslova A.;3.0;0.0
2019;PRELIMINARY ROUND;Jones W.;Petersen D.;2.0;3.0
2019;PRELIMINARY ROUND;Van der Voort V.;Ilagan L.;3.0;1.0
2019;1/32-FINALS;Wright P.;Alcinas T.;1.0;3.0
2019;PRELIMINARY ROUND;Smith R.;Lim P.;3.0;1.0
2019;PRELIMINARY ROUND;Edgar M.;Labanauskas D.;1.0;3.0
2019;PRELIMINARY ROUND;Humphries L.;Hunt A.;3.0;0.0
2019;1/32-FINALS;Chisnall D.;Payne J.;3.0;2.0
2019;PRELIMINARY ROUND;Dolan B.;Liu Y.;3.0;0.0
2019;PRELIMINARY ROUND;O'Connor W.;Meeuwisse Y.;3.0;0.0
2019;PRELIMINARY ROUND;Clemens G.;Kirk A.;3.0;0.0
2019;1/32-FINALS;van Gerwen M.;Tabern A.;3.0;1.0
2019;PRELIMINARY ROUND;Brown K.;Sedlacek K.;3.0;0.0
2019;PRELIMINARY ROUND;Searle R.;Burton S.;3.0;0.0
2019;PRELIMINARY ROUND;Alcinas T.;Ross C.;3.0;0.0
2019;1/32-FINALS;Hopp M.;Noppert D.;3.0;0.0
2019;PRELIMINARY ROUND;Payne J.;Smith J.;3.0;2.0
2019;PRELIMINARY ROUND;Mansell M.;Long J.;1.0;3.0
2019;PRELIMINARY ROUND;North R.;Marijanovic R.;3.0;2.0
2019;1/32-FINALS;Anderson G.;Burness K.;3.0;1.0
2019;PRELIMINARY ROUND;Dobey C.;Koltsov B.;3.0;0.0
2019;PRELIMINARY ROUND;Stevenson S.;Evetts T.;0.0;3.0
2019;PRELIMINARY ROUND;Noppert D.;Lam R.;3.0;0.0
2019;1/32-FINALS;Lewis J.;Harris C.;3.0;2.0
2019;PRELIMINARY ROUND;Nicholson P.;Burness K.;0.0;3.0
2019;PRELIMINARY ROUND;Tabern A.;Smith R.;3.0;2.0
2019;PRELIMINARY ROUND;Barnard M.;de Sousa J.;3.0;2.0
2019;1/32-FINALS;Cross R.;de Zwaan J.;3.0;1.0
2019;PRELIMINARY ROUND;Dekker J.;Ashton L.;3.0;1.0
2019;PRELIMINARY ROUND;Schindler M.;Harris C.;2.0;3.0
2019;PRELIMINARY ROUND;de Zwaan J.;Kumar N.;3.0;0.0
2018;FINAL;Cross R.;Taylor P.;7.0;2.0
2018;SEMI-FINALS;van Gerwen M.;Cross R.;5.0;6.0
2018;SEMI-FINALS;Lewis J.;Taylor P.;1.0;6.0
2018;QUARTER-FINALS;Taylor P.;Anderson G.;5.0;3.0
2018;QUARTER-FINALS;van Gerwen M.;van Barneveld R.;5.0;4.0
2018;QUARTER-FINALS;van den Bergh D.;Cross R.;4.0;5.0
2018;QUARTER-FINALS;Lewis J.;Webster D.;5.0;0.0
2018;1/8-FINALS;Anderson G.;West S.;4.0;2.0
2018;1/8-FINALS;Taylor P.;Brown K.;4.0;0.0
2018;1/8-FINALS;Lewis J.;Richardson J.;4.0;1.0
2018;1/8-FINALS;Henderson J.;Cross R.;1.0;4.0
2018;1/8-FINALS;Suljovic M.;van den Bergh D.;0.0;4.0
2018;1/8-FINALS;Alcinas T.;Webster D.;0.0;4.0
2018;1/8-FINALS;van Gerwen M.;Price G.;4.0;2.0
2018;1/8-FINALS;Van der Voort V.;van Barneveld R.;1.0;4.0
2018;1/16-FINALS;Wright P.;Lewis J.;1.0;4.0
2018;1/16-FINALS;Munch K.;Alcinas T.;1.0;4.0
